bookSearchTerm,searchBand,matchCount
Ancestors,medium,17
Taste,common,182
Book,common,10899
Night,common,972
Coco,medium,25
Life,common,3932
Diego,medium,17
Praying,medium,54
Perspectives,medium,76
Book,common,10899
Rider,medium,77
Guide,common,5846
Poirot,rare,4
Modern,common,527
Foreign,common,123
Congress,medium,89
Walking,common,109
Answer,common,387
Plant,common,224
Planet,common,333
Techniques,common,363
Politics,common,383
European,medium,59
Blush,rare,2
Kept,medium,40
Gandhi,medium,17
Meets,medium,26
Making,common,588
death,common,491
Novel,common,4110
Novel,common,4110
Kids,common,654
Giants,medium,23
Past,common,365
stories,common,1595
Voices,medium,95
Networking,medium,44
Reader,common,969
Jack,common,250
Modesitt,rare,1
True,common,611
Darwin,medium,42
Peter,common,223
Fatal,medium,37
Point,common,258
Resurrection,medium,31
CAPER,medium,22
Ladies,common,117
Strategy,common,134
Studio,medium,35
Emergence,medium,14
Simple,common,496
Secrets,common,617
Great,common,1902
Civil,common,528
It's,common,263
Book,common,10899
Irving,rare,9
Marvel,medium,23
Complete,common,1511
Campbell's,medium,31
Arizona,medium,27
Chronicle,common,316
Books,common,1810
Instant,medium,68
Puzzlemania,rare,7
Carolina,medium,62
Bible,common,839
Earth,common,432
People,common,946
featuring,medium,78
Tantalize,rare,4
Ninety,rare,10
Really,common,183
Wings,common,107
Fabulously,rare,4
Book,common,10899
York,common,274
Readers,common,313
Boyfriend,rare,10
Level,common,636
Novella,medium,61
Christianity,medium,73
Host,common,298
Guest,medium,23
Property,medium,25
Diet,common,370
Surplus,rare,2
Novel,common,4110
Dummies,common,324
Global,common,202
Environments,rare,5
Noble,common,104
Lean,common,270
Foresman,rare,6
Courtship,medium,20
Classic,common,1256
Dummies,common,324
Girl,common,903
Book,common,10899
Scoundrels,rare,4
Minute,common,443
Maggie,medium,22
Abnormal,medium,22
Wedding,common,201
Dogs,common,191
Bells,medium,24
Patchwork,medium,59
Enemies,medium,42
Book,common,10899
Book,common,10899
Guide,common,5846
Jehovah's,rare,4
Unexpected,medium,57
Amelia,medium,67
Fall,common,313
Bridge,common,221
Dream,common,624
faith,common,574
History,common,1608
American,common,2910
Ability,medium,69
Book,common,10899
Holiday,common,258
Easy,common,843
Strength,common,119
Little,common,1345
Whole,common,121
Mosaics,rare,5
Blue,common,473
Travel,common,609
Homes,common,479
Coming,common,382
Promotion,rare,9
Student,common,313
2008,medium,57
Sewing,medium,88
famous,common,143
Healthy,common,479
Fountains,medium,15
Research,common,159
Month,medium,77
Best,common,1431
Past,common,365
Learning,common,328
Maze,medium,39
World,common,2941
Rough,common,858
Eurasia,rare,2
Reliable,rare,9
Make,common,959
Other,common,2105
Thing,common,1364
life,common,3932
2010,medium,44
Viscount,rare,3
Pottery,medium,24
Love,common,2132
Julie,medium,44
Click,medium,17
Youth,common,115
WATER,common,422
History,common,1608
Solving,medium,65
Restored,rare,6
Collection,common,777
Licensed,rare,3
Travel,common,609
Weapons,medium,47
Hall,common,526
Class,common,1516
Edition,common,2259
Friends,common,558
Computer,common,170
Spirituality,medium,64
Packing,medium,16
Beheading,rare,1
Future,common,341
Fiction,common,312
Volume,common,556
Sleepless,rare,4
Literature,common,246
Markets,medium,46
Jewish,common,208
Orphan's,rare,3
Queen,common,237
Teddy,medium,54
Diane's,rare,1
Peak,common,365
Dubliners,rare,8
Delicious,common,234
Dish,common,177
Ruler,rare,6
Fetch,rare,1
Apes,common,129
Pond,common,105
Real,common,802
Hood,common,369
Freaky,rare,3
Flea,medium,26
Animals,common,246
Scrabble,medium,15
George,common,317
Needlework,medium,20
Level,common,636
Aquarium,medium,32
Classic,common,1256
Health,common,1245
Collection,common,777
Inventions,medium,22
Classics,common,809
Scoops,rare,2
Miles,medium,41
Fanny,rare,8
Read,common,2524
Photographers,medium,27
Cream,medium,54
Decision,common,109
Schools,medium,91
Republicans,medium,15
Reading,common,726
Hush,rare,10
Country,common,677
Read,common,2524
Meet,common,167
Edition,common,2259
Gold,common,759
Picking,medium,12
Aging,common,321
Renegades,rare,5
Baby's,medium,51
Onion,medium,19
2000,common,131
Boys,common,241
Weeks,medium,50
Baron's,rare,1
BOOK,common,10899
Rolling,medium,48
Picking,medium,12
Ideals,medium,62
Narrative,medium,45
Books,common,1810
Cooking,common,934
Straight,medium,79
Life,common,3932
Fibroid,rare,2
Edition,common,2259
Dangers,medium,12
King,common,3539
Sixth,medium,46
Larson,rare,1
Rogets,rare,2
Weight,common,331
Bunnies,medium,13
Rate,common,1606
Village,medium,53
glass,common,164
Mile,common,103
North,common,341
Total,common,158
Dragons,medium,55
Trees,medium,88
Food,common,787
Book,common,10899
Puffins,medium,23
Treasury,common,307
Ancient,common,210
Spiritual,common,359
American,common,2910
Cyclops,rare,2
Years,common,601
Reading,common,726
Favorite,common,552
Presidential,medium,89
Shia,rare,8
Book,common,10899
World,common,2941
Peer,rare,5
Write,common,505
Shui,medium,63
Holliday,rare,3
DESERT,medium,73
Family,common,1094
Sexual,common,152
Complete,common,1511
Guide,common,5846
Justice,common,150
Likely,medium,35
Historic,common,307
Moon,common,346
Enemy,medium,50
Sight,common,185
Story,common,3364
Home,common,2250
Game,common,552
Flying,medium,63
Warriors,medium,59
Nefertiti,rare,2
Escapes,medium,18
World,common,2941
Mysteries,common,589
Body,common,607
Approach,common,273
Sisters,common,172
Color,common,463
Coelura,rare,3
Gentlemen,medium,20
Competing,medium,13
Solution,common,263
Spectacular,medium,28
Life's,common,127
Star,common,1111
Ausa,rare,10
Royal,common,118
Portfolio,medium,32
back,common,1041
Seed,medium,53
arguments,medium,17
Cookies,medium,74
Race,common,419
Step,common,1012
Leading,common,114
Deception,medium,69
Presence,medium,52
Stuffed,rare,5
Camera,medium,42
Harrods,rare,1
lives,common,348
Wildcat,rare,4
Orbit,rare,9
Beer,medium,55
death,common,491
Milk,medium,32
Drama,medium,98
Beanie,rare,8
Murder,common,368
Never,common,276
Trees,medium,88
Flight,medium,98
Flowers,common,180
Knitting,medium,55
Death,common,491
Chocolate,common,141
Quiz,medium,58
Honored,rare,6
Church,common,357
Family,common,1094
Storybook,common,173
Indoor,medium,43
Pioneers,medium,22
Fields,medium,55
Fable,medium,49
Volume,common,556
Eagle,medium,88
1600,medium,17
Birds,common,172
Book,common,10899
Book,common,10899
Story,common,3364
Eagles,medium,25
Club,common,363
Alissa,rare,1
Plans,medium,63
Golden,common,577
Publishers,medium,36
Ladies,common,117
Crocker,common,122
Teachers,medium,98
Darwin,medium,42
Club,common,363
Panther,rare,8
Present,common,295
rescuers,rare,6
Trek,common,131
Novel,common,4110
Sweetsmoke,rare,1
Sculpture,medium,33
Questions,common,314
Tales,common,633
Guide,common,5846
Heaven,common,233
Illustrated,common,538
Sheen,rare,2
Files,common,132
Workshop,medium,55
Children's,common,277
Bible,common,839
Handbook,common,869
Columnist,rare,4
Walkways,rare,6
Murder,common,368
Nobody's,medium,14
Gumboot's,rare,1
Library,common,932
Chronicles,common,239
Slang,medium,19
Maximizing,medium,11
Love,common,2132
Left,common,118
Pocket,common,293
Booster,rare,9
Insults,rare,3
Paige,rare,5
Knight's,rare,9
Days,common,504
Times,common,414
Illustrator,medium,11
Dead,common,416
Expensive,rare,10
Courage,common,241
Talks,medium,29
Book,common,10899
Diana,medium,57
Complete,common,1511
Games,common,204
Catholic,common,179
past,common,365
Quilting,medium,100
Brain,common,215
Amish,medium,66
Dawn,medium,89
Portrait,common,256
Halloween,medium,77
Sholom,rare,1
Little,common,1345
Sale,common,158
Sparrow,medium,21
Greatest,common,312
Parable,medium,33
